id,name,description,unit
r1,L1I_CACHE_REFILL,Level 1 instruction cache refill,FEU
r2,L1I_TLB_REFILL,Level 1 instruction TLB refill,FEU
r14,L1I_CACHE_ACCESS,Level 1 instruction cache access,FEU
r26,L1I_TLB,Level 1 instruction TLB access,FEU
r23,STALL_FE,Cycle on which no operation issued because there are no operations to issue.,MAP
r24,STALL_BE,Cycle on which no operation issued due to back-end resources being unavailable.,MAP
r3,L1D_CACHE_REFILL,Level 1 data cache refill,LSU
r4,L1D_CACHE_ACCESS,Level 1 data cache access,LSU
r5,L1D_TLB_REFILL,Level 1 data TLB refill,LSU
r13,MEM_ACCESS,Data memory access,LSU
r15,L1D_CACHE_WB,Level 1 data cache write-back,LSU
r1f,L1D_CACHE_ALLOCATE,Level 1 data cache allocation without refill,LSU
r25,L1D_TLB,Level 1 data TLB access,LSU
r40,L1D_CACHE_RD,Level 1 data cache access read
r41,L1D_CACHE_WR,Level 1 data cache access write,LSU
r42,L1D_CACHE_REFILL_RD,Level 1 data cache refill read,LSU
r43,L1D_CACHE_REFILL_WR,Level 1 data cache refill write,LSU
r44,L1D_CACHE_REFILL_INNER,Level 1 data cache refill inner,LSU
r45,L1D_CACHE_REFILL_OUTER,Level 1 data cache refill outer,LSU
r46,L1D_CACHE_WB_VICTIM,Level 1 data cache write-back victim,LSU
r47,L1D_CACHE_WB_CLEAN,Level 1 data cache write-back cleaning and coherency,LSU
r48,L1D_CACHE_INVAL,Level 1 data cache invalidate,LSU
r4c,L1D_TLB_REFILL_RD,Level 1 data TLB refill read,LSU
r4d,L1D_TLB_REFILL_WR,Level 1 data TLB refill write,LSU
r4e,L1D_TLB_RD,Level 1 data TLB access read,LSU
r4f,L1D_TLB_WR,Level 1 data TLB access write,LSU
r66,Loads,Data memory access read,LSU
r67,Stores,Data memory access write,LSU
r68,UNALIGNED_LD_SPEC,Unaligned access read,LSU
r69,UNALIGNED_ST_SPEC,Unaligned access write,LSU
r6a,UNALIGNED_LDST_SPEC,Unaligned access,LSU
r6c,LDREX_SPEC,Exclusive operation speculatively executed LDREX or LDX,LSU
r6d,STREX_PASS_SPEC,Exclusive operation speculatively executed STREX or STX pass,LSU
r6e,STREX_FAIL_SPEC,Exclusive operation speculatively executed STREX or STX pass,LSU
r6f,STREX_SPEC,Exclusive operation speculatively executed STREX or STX,LSU
r70,LD_SPEC,Operation speculatively executed load,LSU
r71,ST_SPEC,Operation speculatively executed store,LSU
r72,LDST_SPEC,Operation speculatively executed load or store,LSU
r7d,DSB_SPEC,Barrier speculatively executed DSB,LSU
r7e,DMB_SPEC,Barrier speculatively executed DMB,LSU
r90,RC_LD_SPEC,Release consistency operation speculatively executed Load-Acquire,LSU
r91,RC_ST_SPEC,Release consistency operation speculatively executed Store-Release,LSU
r16,L2D_CACHE_ACCESS,Level 2 data/unified cache access,SCU
r17,L2D_CACHE_REFILL,Level 2 data/unified cache refill,SCU
r18,L2D_CACHE_WB,Level 2 data/unified cache write-back,SCU
r19,BUS_ACCESS,Bus access,SCU
r1d,BUS_CYCLES,Bus cycle,SCU
r20,L2D_CACHE_ALLOCATE,Level 2 data/unified cache allocation without refill,SCU
r27,L2I_CACHE,Level 2 instruction cache access,N/A
r28,L2I_CACHE_REFILL,Level 2 instruction cache refill,N/A
r50,L2D_CACHE_RD,Level 2 data cache access read,SCU
r51,L2D_CACHE_WR,Level 2 data cache access write,SCU
r52,L2D_CACHE_REFILL_RD,Level 2 data cache refill read,SCU
r53,L2D_CACHE_REFILL_WR,Level 2 data cache refill write,SCU
r56,L2D_CACHE_WB_VICTIM,Level 2 data cache write-back victim,SCU
r57,L2D_CACHE_WB_CLEAN,Level 2 data cache write-back cleaning and coherency,SCU
r58,L2D_CACHE_INVAL,Level 2 data cache invalidate,SCU
r60,BUS_ACCESS_LD,Bus access read,SCU
r61,BUS_ACCESS_ST,Bus access write,SCU
r62,BUS_ACCESS_SHARED,Bus access Normal Cacheable Shareable,SCU
r63,BUS_ACCESS_NOT_SHARED,Bus access not Normal Cacheable Shareable,SCU
r64,BUS_ACCESS_NORMAL,Bus access normal,SCU
r65,BUS_ACCESS_PERIPH,Bus access peripheral,SCU
r1c,TTBR_WRITE_RETIRED,Instruction architecturally executed condition code check pass write to TTBR,MMU
r2d,L2D_TLB_REFILL,Attributable memory-read operation or Attributable memory-write operation that causes a TLB refill of at least the Level 2 data or unified TLB,MMU
r2e,L2I_TLB_REFILL,Attributable instruction memory accesses that cause a TLB refill of at least the Level 2 instruction or unified TLB.,MMU
r2f,L2D_TLB,Attributable memory read operation or Attributable memory write operation that causes a TLB access to at least the Level 2 data or unified TLB.,MMU
r30,L2I_TLB,Attributable memory read operation or Attributable memory write operation that causes a TLB access to at least the Level 2 instruction or unified TLB.,MMU
r5c,L2D_TLB_REFILL_RD,Level 2 data/unified TLB refill read,MMU
r5d,L2D_TLB_REFILL_WR,Level 2 data/unified TLB refill write,MMU
r5e,L2D_TLB_RD,Level 2 data/unified TLB access read,MMU
r5f,L2D_TLB_WR,Level 2 data/unified TLB access read,MMU
r10,BR_MIS_PRED,Mispredicted or not predicted branch speculatively executed,IEU
r12,BR_PRED,Predictable branch speculatively executed,IEU
r73,DP_SPEC,Operation speculatively executed integer data-processing,IEU
r76,PC_WRITE_SPEC,Operation speculatively executed software change of the PC,IEU
r78,BR_IMMED_SPEC,Branch speculatively executed immediate branch,IEU
